City,Amsterdam,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Copenhagen,Dublin,Edinburgh,Florence,Frankfurt,Geneva,Glasgow,Helsinki,Istanbul,Lisbon,Ljubljana,London,Luxembourg,Madrid,Milan,Munich,Naples,Oslo,Paris,Prague,Reykjavik,Riga,Rome,Sarajevo,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich,Brno,Gothenburg,Seville,Toulouse,Kiev
Dublin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edinburgh,208,-,-,-,370,-,185,-,-,-,-,-,-,-,-,21,-,-,-,-,88,-,-,-,-,-,-,259,-,-,-,-,-,-,-,-,-,-,362,-,-,-,-,-,-,-,-,-
Florence,162,-,-,-,-,-,-,-,-,-,-,-,-,-,118,-,-,-,-,55,-,-,-,29,-,36,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,78,108,-,-,-,-,-
Frankfurt,35,-,109,-,33,41,34,-,60,67,-,-,-,-,60,298,-,-,-,40,-,22,-,110,16,-,-,45,21,-,-,-,-,-,-,-,60,-,94,-,45,-,38,35,70,-,194,-
Geneva,178,-,-,-,70,-,109,-,229,80,-,-,118,60,-,-,-,-,-,-,138,-,-,58,90,138,-,29,-,-,-,135,-,-,-,-,66,-,38,-,67,-,50,207,-,-,84,-
Glasgow,240,-,-,-,383,-,247,-,-,-,-,21,-,298,-,-,-,-,-,-,81,-,-,-,-,-,-,259,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Helsinki,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Istanbul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lisbon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ljubljana,121,-,-,-,40,-,-,-,74,-,-,-,55,40,-,-,-,-,-,-,-,-,-,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-
London,120,-,191,-,-,68,155,-,-,-,-,88,-,-,138,81,-,-,-,-,-,204,-,233,211,-,-,125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,271,-,-,-,-,-
Luxembourg,58,-,-,-,67,-,26,-,-,63,-,-,-,22,-,-,-,-,-,-,204,-,-,-,47,-,-,54,48,-,-,-,-,-,-,-,-,-,114,-,55,-,48,57,-,-,143,-
Madrid,130,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,83,-
Milan,128,-,-,-,-,-,138,-,-,-,-,-,29,110,58,-,-,-,-,-,233,-,-,-,85,46,-,-,-,-,-,45,-,-,-,-,-,-,-,-,-,73,52,-,-,-,-,-
Munich,45,-,127,-,16,30,44,-,50,67,-,-,-,16,90,-,-,-,-,42,211,47,-,85,-,-,-,73,21,-,-,-,-,-,-,-,72,-,174,-,40,120,58,35,70,-,-,-
Naples,203,-,-,-,-,-,-,-,-,-,-,-,36,-,138,-,-,-,-,-,-,-,-,46,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,125,134,-,-,-,-,-
Oslo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Paris,74,-,59,-,80,-,39,-,128,170,-,259,-,45,29,259,-,-,-,-,125,54,168,-,73,-,-,-,131,-,-,-,-,-,-,-,-,-,46,-,140,-,65,160,-,-,45,-
Prague,69,-,-,-,20,18,-,-,119,57,-,-,-,21,-,-,-,-,-,-,-,48,-,-,21,-,-,131,-,-,-,-,-,-,-,-,-,-,154,-,45,-,-,10,-,-,-,-
Reykjavik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Riga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rome,173,-,-,-,-,-,-,-,-,-,-,-,22,-,135,-,-,-,-,-,-,-,-,45,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,112,122,-,-,-,137,-
Sarajevo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sofia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stockholm,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tallinn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tirana,-,-,-,-,-,-,-,-,-,-,-,-,-,60,66,-,-,-,-,-,-,-,-,-,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122,-,-,-,-
Valletta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vienna,132,-,57,-,-,18,78,-,20,-,-,362,-,94,38,-,-,-,-,25,-,114,-,-,174,-,-,46,154,-,-,-,-,-,-,-,-,-,-,-,29,-,92,168,-,-,66,-
Vilnius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warsaw,70,-,-,-,30,-,70,-,48,-,-,-,-,45,67,-,-,-,-,-,-,55,-,-,40,-,-,140,45,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-
Zagreb,-,-,-,-,-,-,-,-,-,-,-,-,78,-,-,-,-,-,-,-,-,-,-,73,120,125,-,-,-,-,-,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zurich,60,-,-,-,67,-,50,-,156,75,-,-,108,38,50,-,-,-,-,-,271,48,-,52,58,134,-,65,-,-,-,122,-,-,-,-,-,-,92,-,-,-,-,134,-,-,144,-
Brno,70,-,-,-,28,8,-,-,67,65,-,-,-,35,207,-,-,-,-,-,-,57,-,-,35,-,-,160,10,-,-,-,-,-,-,-,122,-,168,-,-,-,134,-,-,-,260,-
Gothenburg,80,-,-,-,70,-,80,-,-,-,-,-,-,70,-,-,-,-,-,-,-,-,-,-,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seville,-,-,113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Toulouse,137,-,50,-,-,-,134,-,-,-,-,-,-,194,84,-,-,-,-,-,-,143,83,-,-,-,-,45,-,-,-,137,-,-,-,-,-,-,66,-,-,-,144,260,-,-,-,-
Kiev,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
