City,Amsterdam,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Copenhagen,Dublin,Edinburgh,Florence,Frankfurt,Geneva,Glasgow,Helsinki,Istanbul,Lisbon,Ljubljana,London,Luxembourg,Madrid,Milan,Munich,Naples,Oslo,Paris,Prague,Reykjavik,Riga,Rome,Sarajevo,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich,Brno,Gothenburg,Seville,Toulouse,Kiev
Glasgow,11,-,-,-,17,-,9,-,-,-,-,1,-,14,-,-,-,-,-,-,6,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Helsinki,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Istanbul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lisbon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ljubljana,16,-,-,-,14,8,-,-,9,-,-,-,13,12,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-
London,5,-,11,-,-,-,2,-,-,-,-,5,-,-,7,6,-,-,-,-,-,7,-,12,15,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-
Luxembourg,7,-,-,-,8,-,3,-,-,13,-,-,-,4,-,-,-,-,-,-,7,-,-,-,7,-,-,3,11,-,-,-,-,-,-,-,-,-,7,-,15,-,8,12,-,-,9,-
Madrid,18,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,7,-
Milan,13,-,-,-,-,-,15,-,-,-,-,-,2,8,4,-,-,-,-,-,12,-,-,-,7,5,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,20,3,-,-,-,-,-
Munich,9,-,14,-,4,6,6,-,7,11,-,-,-,4,6,-,-,-,-,7,15,7,-,7,-,-,-,6,6,-,-,-,-,-,-,-,8,-,10,-,14,10,4,6,16,-,-,-
Naples,24,-,-,-,-,-,-,-,-,-,-,-,3,-,10,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,22,9,-,-,-,-,-
Oslo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Paris,3,-,7,-,8,-,2,-,16,14,-,9,-,4,3,10,-,-,-,-,2,3,10,-,6,-,-,-,12,-,-,-,-,-,-,-,-,-,3,-,14,-,4,14,-,-,6,-
Prague,12,-,-,-,4,4,-,-,7,13,-,-,-,7,-,-,-,-,-,-,-,11,-,-,6,-,-,12,-,-,-,-,-,-,-,-,-,-,14,-,10,-,-,3,-,-,-,-
Reykjavik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Riga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rome,17,-,-,-,-,-,-,-,-,-,-,-,2,-,8,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,7,-,-,-,17,-
Sarajevo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sofia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stockholm,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tallinn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tirana,-,-,-,-,-,-,-,-,-,-,-,-,-,10,8,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-
Valletta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vienna,7,-,6,-,-,1,5,-,3,-,-,13,-,7,4,-,-,-,-,6,-,7,-,-,10,-,-,3,14,-,-,-,-,-,-,-,-,-,-,-,8,-,6,19,-,-,6,-
Vilnius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warsaw,13,-,-,-,5,-,13,-,17,-,-,-,-,10,16,-,-,-,-,-,-,15,-,-,14,-,-,14,10,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-
Zagreb,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,20,10,22,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zurich,8,-,-,-,9,-,8,-,11,14,-,-,6,5,3,-,-,-,-,-,8,8,-,3,4,9,-,4,-,-,-,7,-,-,-,-,-,-,6,-,-,-,-,10,-,-,11,-
Brno,14,-,-,-,7,2,-,-,4,16,-,-,-,8,13,-,-,-,-,-,-,12,-,-,6,-,-,14,3,-,-,-,-,-,-,-,17,-,19,-,-,-,10,-,-,-,24,-
Gothenburg,16,-,-,-,12,-,18,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seville,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Toulouse,11,-,4,-,-,-,7,-,-,-,-,-,-,12,7,-,-,-,-,-,-,9,7,-,-,-,-,6,-,-,-,17,-,-,-,-,-,-,6,-,-,-,11,24,-,-,-,-
Kiev,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
